"zip","city","county","pop"
"62661","Loami","Sangamon","1512"
"62665","Meredosia","Morgan","1501"
"62240","East Carondelet","St. Clair","1499"
"61322","Depue","Bureau","1498"
"60924","Cissna Park","Iroquois","1496"
"61051","Milledgeville","Carroll","1493"
"62354","Nauvoo","Hancock","1486"
"60963","Rossville","Vermilion","1485"
"60966","Sheldon","Iroquois","1475"
"62912","Buncombe","Johnson","1475"
"62988","Tamms","Alexander","1472"
"61759","Minier","Tazewell","1463"
"61327","Hennepin","Putnam","1459"
"62295","Valmeyer","Monroe","1454"
"61379","Wyanet","Bureau","1454"
"61060","Orangeville","Stephenson","1452"
"62214","Addieville","Washington","1449"
"62540","Kincaid","Christian","1449"
"61912","Ashmore","Coles","1425"
"62668","Murrayville","Morgan","1418"
"61747","Hopedale","Tazewell","1418"
"61565","Sparland","Marshall","1418"
"61486","Viola","Mercer","1415"
"61740","Flanagan","Livingston","1412"
"61421","Bradford","Stark","1398"
"62530","Divernon","Sangamon","1397"
"61087","Warren","Jo Daviess","1394"
"62410","Allendale","Wabash","1383"
"61412","Alexis","Mercer","1377"
"61729","Congerville","Woodford","1376"
"62638","Franklin","Morgan","1372"
"62987","Stonefort","Saline","1368"
"61931","Humboldt","Coles","1356"
"61370","Tonica","La Salle","1354"
"62642","Greenview","Menard","1346"
"61353","Paw Paw","Lee","1346"
"61041","Hanover","Jo Daviess","1345"
"60911","Ashkum","Iroquois","1337"
"62931","Elizabethtown","Hardin","1337"
"61368","Tiskilwa","Bureau","1334"
"62983","Royalton","Franklin","1329"
"62545","Mechanicsburg","Sangamon","1318"
"62933","Energy","Williamson","1309"
"61259","Illinois City","Rock Island","1309"
"61847","Gifford","Champaign","1304"
"61473","Roseville","Warren","1297"
"61330","La Moille","Bureau","1295"
"60935","Essex","Kankakee","1295"
"62242","Evansville","Randolph","1292"
"62803","Hoyleton","Washington","1289"
"61859","Ogden","Champaign","1276"
"61854","Mansfield","Piatt","1274"
"62830","Dix","Jefferson","1274"
"62964","Mounds","Pulaski","1271"
"61078","Shannon","Carroll","1270"
"61319","Cornell","Livingston","1268"
"62462","Sigel","Shelby","1266"
"61878","Thomasboro","Champaign","1263"
"60550","Shabbona","De Kalb","1261"
"62086","Sorento","Bond","1261"
"61728","Colfax","Mclean","1252"
"61488","Wataga","Knox","1252"
"61480","Stronghurst","Henderson","1249"
"61232","Andalusia","Rock Island","1249"
"61329","Ladd","Bureau","1242"
"62990","Thebes","Alexander","1231"
"62324","Clayton","Adams","1229"
"61242","Cordova","Rock Island","1227"
"61272","New Boston","Mercer","1227"
"61239","Carbon Cliff","Rock Island","1225"
"62074","New Douglas","Madison","1223"
"62611","Arenzville","Cass","1222"
"61742","Goodfield","Woodford","1221"
"61572","Yates City","Knox","1217"
"62090","Venice","Madison","1217"
"62816","Bonnie","Jefferson","1208"
"62534","Findlay","Shelby","1208"
"61841","Fairmount","Vermilion","1207"
"60460","Odell","Livingston","1206"
"62621","Bluffs","Scott","1199"
"62473","Watson","Effingham","1194"
"62827","Crossville","White","1189"
"62982","Rosiclare","Hardin","1189"
"60603","Chicago","Cook","1186"
"61467","Oneida","Knox","1183"
"61870","Ridge Farm","Vermilion","1183"
"62523","Decatur","Macon","1183"
"61361","Sheffield","Bureau","1181"
"61925","Dalton City","Moultrie","1179"
"62539","Illiopolis","Sangamon","1178"
"61465","New Windsor","Mercer","1173"
"62835","Enfield","White","1162"
"61754","Mc Lean","Mclean","1157"
"62440","Lerna","Coles","1155"
"62560","Raymond","Montgomery","1154"
"62367","Plymouth","Hancock","1154"
"62932","Elkville","Jackson","1148"
"61001","Apple River","Jo Daviess","1146"
"62875","Patoka","Marion","1146"
"61014","Chadwick","Carroll","1145"
"61777","Wapella","Dewitt","1144"
"62445","Montrose","Effingham","1143"
"61770","Saybrook","Mclean","1139"
"61776","Towanda","Mclean","1135"
"62028","Elsah","Jersey","1133"
"62872","Opdyke","Jefferson","1133"
"61234","Annawan","Henry","1122"
"61447","Kirkwood","Warren","1115"
"62338","Fowler","Adams","1105"
"61814","Bismarck","Vermilion","1097"
"62853","Kell","Marion","1096"
"62894","Waltonville","Jefferson","1091"
"61325","Grand Ridge","La Salle","1085"
"61349","Ohio","Bureau","1083"
"60479","Verona","Grundy","1082"
"62277","Prairie Du Rocher","Randolph","1081"
"62701","Springfield","Sangamon","1080"
"62463","Stewardson","Shelby","1076"
"62956","Karnak","Pulaski","1071"
"61257","Hillsdale","Rock Island","1067"
"62376","Ursa","Adams","1065"
"61942","Newman","Douglas","1064"
"61490","Woodhull","Henry","1053"
"60959","Piper City","Ford","1053"
"61375","Varna","Marshall","1049"
"61018","Dakota","Stephenson","1042"
"62634","Elkhart","Logan","1037"
"61420","Blandinsville","Mcdonough","1037"
"62889","Texico","Jefferson","1032"
"62422","Cowden","Shelby","1032"
"62460","Saint Francisville","Lawrence","1030"
"61441","Ipava","Fulton","1030"
"61075","Scales Mound","Jo Daviess","1024"
"62515","Buffalo","Sangamon","1022"
"61933","Kansas","Edgar","1021"
"61279","Reynolds","Rock Island","1020"
"60072","Ringwood","Mchenry","1020"
"61774","Stanford","Mclean","1019"
"62979","Ridgway","Gallatin","1014"
"61262","Lynn Center","Henry","1007"
"62219","Beckemeyer","Clinton","1006"
"62972","Ozark","Johnson","1000"
"61569","Trivoli","Peoria","993"
"61884","White Heath","Piatt","984"
"61564","South Pekin","Tazewell","982"
"62627","Chandlerville","Cass","980"
"62022","Dow","Jersey","974"
"62017","Coffeen","Montgomery","972"
"62533","Farmersville","Montgomery","965"
"62807","Alma","Marion","964"
"62292","Tilden","Randolph","961"
"62547","Mount Auburn","Christian","960"
"62433","Hutsonville","Crawford","957"
"61428","Dahinda","Knox","953"
"61015","Chana","Ogle","944"
"62244","Fults","Monroe","931"
"61413","Alpha","Henry","929"
"62378","Versailles","Brown","928"
"61230","Albany","Whiteside","918"
"62919","Cave In Rock","Hardin","917"
"62339","Golden","Adams","917"
"62255","Lenzburg","St. Clair","914"
"61733","Deer Creek","Tazewell","911"
"61039","German Valley","Stephenson","910"
"62268","Oakdale","Washington","909"
"62810","Belle Rive","Jefferson","908"
"62431","Herrick","Shelby","903"
"62032","Fillmore","Montgomery","887"
"60960","Rankin","Vermilion","883"
"62094","Witt","Montgomery","882"
"62479","Wheeler","Jasper","874"
"62465","Strasburg","Shelby","873"
"61052","Monroe Center","Ogle","872"
"61314","Buda","Bureau","871"
"61038","Garden Prairie","Boone","869"
"62063","Medora","Jersey","860"
"62241","Ellis Grove","Randolph","855"
"62426","Edgewood","Effingham","853"
"61414","Altona","Knox","852"
"60951","Martinton","Iroquois","851"
"61489","Williamsfield","Knox","847"
"61919","Camargo","Douglas","836"
"62217","Baldwin","Randolph","833"
"60961","Reddick","Kankakee","833"
"62021","Dorsey","Madison","832"
"62992","Ullin","Pulaski","831"
"62628","Chapin","Morgan","831"
"61844","Fithian","Vermilion","827"
"62355","Nebo","Pike","824"
"62343","Hull","Pike","823"
"62551","Niantic","Macon","823"
"62893","Walnut Hill","Marion","820"
"60930","Danforth","Iroquois","814"
"62567","Stonington","Christian","809"
"62625","Cantrall","Sangamon","808"
"61484","Vermont","Fulton","804"
"61436","Gilson","Knox","797"
"62316","Bowen","Hancock","785"
"62432","Hidalgo","Jasper","784"
"62349","Loraine","Adams","781"
"62058","Livingston","Madison","780"
"60530","Lee","Lee","779"
"62963","Mound City","Pulaski","777"
"61438","Good Hope","Mcdonough","776"
"62250","Hoffman","Clinton","773"
"61440","Industry","Mcdonough","771"
"61516","Benson","Woodford","769"
"61863","Pesotum","Champaign","764"
"61367","Sublette","Lee","760"
"62311","Augusta","Hancock","759"
"62836","Ewing","Franklin","757"
"61260","Joy","Mercer","754"
"62688","Tallula","Menard","753"
"61261","Lyndon","Whiteside","750"
"60553","Steward","Lee","749"
"61544","London Mills","Fulton","749"
"61545","Lowpoint","Woodford","748"
"62046","Hamel","Madison","748"
"60474","South Wilmington","Grundy","745"
"62994","Vergennes","Jackson","744"
"62916","Campbell Hill","Jackson","744"
"62949","Hurst","Williamson","742"
"62051","Irving","Montgomery","740"
"61811","Alvin","Vermilion","740"
"62643","Hartsburg","Logan","738"
"61263","Matherville","Mercer","735"
"61345","Neponset","Bureau","735"
"60604","Chicago","Cook","729"
"61602","Peoria","Peoria","726"
"61526","Edelstein","Peoria","725"
"62880","Saint Peter","Fayette","724"
"62891","Valier","Franklin","722"
"62842","Geff","Wayne","720"
"62474","Westfield","Clark","719"
"61442","Keithsburg","Mercer","718"
"62940","Gorham","Jackson","714"
"61928","Gays","Moultrie","712"
"62957","Mc Clure","Alexander","710"
"61721","Armington","Tazewell","707"
"61875","Seymour","Champaign","706"
"62682","San Jose","Mason","705"
"61049","Lindenwood","Ogle","700"
"62356","New Canton","Pike","695"
"61067","Ridott","Stephenson","693"
"60918","Buckley","Iroquois","693"
"61929","Hammond","Piatt","690"
"62461","Shumway","Effingham","688"
"61862","Penfield","Champaign","685"
"62031","Fieldon","Jersey","678"
"61334","Lostant","La Salle","677"
"61318","Compton","Lee","677"
"61769","Saunemin","Livingston","676"
"61437","Gladstone","Henderson","675"
"62934","Equality","Gallatin","675"
"62941","Grand Chain","Pulaski","674"
"61930","Hindsboro","Douglas","671"
"62253","Keyesport","Clinton","665"
"61839","De Land","Piatt","662"
"62238","Cutler","Perry","661"
"61042","Harmon","Lee","659"
"61470","Prairie City","Mcdonough","659"
"62977","Raleigh","Saline","659"
"62883","Scheller","Jefferson","658"
"60537","Millington","Kendall","655"
"61882","Weldon","Dewitt","655"
"61432","Fairview","Fulton","654"
"61778","Waynesville","Dewitt","653"
"61532","Forest City","Mason","647"
"61418","Biggsville","Henderson","645"
"62850","Johnsonville","Wayne","645"
"61453","Little York","Warren","644"
"62036","Golden Eagle","Calhoun","644"
"62970","Olmsted","Pulaski","643"
"61876","Sidell","Vermilion","640"
"61560","Putnam","Putnam","637"
"62942","Grand Tower","Jackson","636"
"61771","Secor","Woodford","627"
"60929","Cullom","Livingston","627"
"60949","Ludlow","Champaign","626"
"62630","Chesterfield","Macoupin","623"
"62954","Junction","Gallatin","623"
"61320","Dalzell","Bureau","622"
"61089","Winslow","Stephenson","621"
"62314","Baylis","Pike","621"
"62908","Belknap","Johnson","619"
"61840","Dewey","Champaign","614"
"62013","Brussels","Calhoun","614"
"62358","Niota","Hancock","612"
"62633","Easton","Mason","611"
"61722","Arrowsmith","Mclean","609"
"60962","Roberts","Ford","609"
"62480","Willow Hill","Jasper","607"
"61430","East Galesburg","Knox","603"
"62436","Jewett","Cumberland","600"
"62655","Kilbourne","Mason","599"
"62477","West Union","Clark","597"
"62689","Thayer","Sangamon","588"
"62997","Willisville","Perry","588"
"62667","Modesto","Macoupin","585"
"62817","Broughton","Hamilton","583"
"62905","Alto Pass","Union","583"
"62475","West Liberty","Jasper","583"
"61423","Cameron","Warren","582"
"62570","Tovey","Christian","582"
"61872","Sadorus","Champaign","581"
"62027","Eldred","Greene","580"
"62015","Butler","Montgomery","578"
"60928","Crescent City","Iroquois","574"
"62280","Rockwood","Randolph","572"
"62375","Timewell","Brown","568"
"62284","Smithboro","Bond","565"
"61472","Rio","Knox","565"
"61932","Hume","Edgar","562"
"61482","Table Grove","Fulton","555"
"62871","Omaha","Gallatin","553"
"61749","Kenney","Dewitt","552"
"62848","Irvington","Washington","551"
"62365","Plainville","Adams","549"
"61337","Malden","Bureau","548"
"60931","Donovan","Iroquois","547"
"62423","Dennison","Clark","546"
"61477","Smithfield","Fulton","539"
"62617","Bath","Mason","538"
"62635","Emden","Logan","538"
"60952","Melvin","Ford","536"
"62421","Claremont","Richland","536"
"60919","Cabery","Ford","535"
"60912","Beaverville","Iroquois","533"
"62867","New Haven","Gallatin","533"
"62469","Trilla","Coles","533"
"61917","Brocton","Edgar","531"
"60910","Aroma Park","Kankakee","520"
"62671","New Holland","Logan","519"
"61724","Bellflower","Mclean","518"
"61730","Cooksville","Mclean","515"
"62380","West Point","Hancock","515"
"62538","Harvel","Montgomery","514"
"60029","Golf","Cook","512"
"62572","Waggoner","Montgomery","509"
"62985","Simpson","Johnson","509"
"61425","Carman","Henderson","503"
"62006","Batchtown","Calhoun","503"
"62045","Hamburg","Calhoun","498"
"62877","Richview","Washington","497"
"60109","Burlington","Kane","496"
"61458","Maquon","Knox","494"
"60917","Buckingham","Kankakee","492"
"62666","Middletown","Logan","487"
"62282","Saint Libory","St. Clair","480"
"62536","Glenarm","Sangamon","480"
"61317","Cherry","Bureau","479"
"62649","Hettick","Macoupin","479"
"62555","Owaneco","Christian","475"
"62054","Kane","Greene","470"
"62923","Cypress","Johnson","469"
"62425","Dundas","Richland","468"
"61563","Saint David","Fulton","467"
"61312","Arlington","Bureau","466"
"62512","Beason","Logan","463"
"61816","Broadlands","Champaign","461"
"60946","Kempton","Ford","457"
"60968","Thawville","Iroquois","451"
"61336","Magnolia","Putnam","450"
"61476","Seaton","Mercer","448"
"61344","Mineral","Bureau","445"
"62091","Walshville","Montgomery","444"
"62053","Kampsville","Calhoun","441"
"61454","Lomax","Henderson","440"
"61737","Ellsworth","Mclean","437"
"61735","Dewitt","Dewitt","434"
"62874","Orient","Franklin","434"
"62885","Shobonier","Fayette","434"
"60470","Ransom","La Salle","430"
"62543","Latham","Logan","425"
"62325","Coatsburg","Adams","421"
"62624","Browning","Schuyler","417"
"62059","Lovejoy","St. Clair","416"
"62313","Basco","Hancock","415"
"61830","Cisco","Piatt","414"
"61278","Rapids City","Rock Island","411"
"61013","Cedarville","Stephenson","411"
"62345","Kinderhook","Pike","407"
"62248","Hecker","Monroe","406"
"61850","Indianola","Vermilion","405"
"62969","Olive Branch","Alexander","404"
"61251","Fenton","Whiteside","402"
"62860","Macedonia","Hamilton","402"
"62297","Walsh","Randolph","402"
"62897","Whittington","Franklin","401"
"61625","Peoria","Peoria","399"
"61567","Topeka","Mason","396"
"62444","Mode","Shelby","396"
"62878","Rinard","Wayne","394"
"62089","Taylor Springs","Montgomery","392"
"62514","Boody","Macon","389"
"62947","Herod","Pope","384"
"62887","Springerton","White","381"
"60932","East Lynn","Vermilion","379"
"62553","Oconee","Shelby","377"
"62446","Mount Erie","Wayne","375"
"61340","Mark","Putnam","373"
"62556","Palmer","Christian","370"
"62915","Cambria","Williamson","370"
"61359","Seatonville","Bureau","369"
"61411","Adair","Mcdonough","367"
"62673","Oakford","Menard","366"
"62818","Browns","Edwards","366"
"61845","Foosland","Champaign","365"
"62996","Villa Ridge","Pulaski","363"
"61485","Victoria","Knox","359"
"61524","Dunfermline","Fulton","359"
"62459","Sainte Marie","Jasper","358"
"62976","Pulaski","Pulaski","358"
"61311","Ancona","Livingston","357"
"61459","Marietta","Fulton","355"
"62831","Du Bois","Washington","352"
"62050","Hillview","Greene","352"
"61812","Armstrong","Vermilion","347"
"61871","Royal","Champaign","345"
"62481","Yale","Jasper","344"
"62886","Sims","Wayne","341"
"62819","Buckner","Franklin","340"
"60973","Wellington","Iroquois","338"
"61940","Metcalf","Edgar","338"
"60549","Serena","La Salle","337"
"62357","New Salem","Pike","335"
"61007","Baileyville","Ogle","332"
"62081","Rockbridge","Greene","331"
"62438","Lakewood","Shelby","331"
"61333","Long Point","Livingston","330"
"61050","Mc Connell","Stephenson","329"
"62856","Logan","Franklin","325"
"60141","Hines","Cook","324"
"61773","Sibley","Ford","320"
"61466","North Henderson","Mercer","319"
"61335","Mc Nabb","Putnam","318"
"62019","Donnellson","Bond","317"
"62352","Milton","Pike","317"
"61321","Dana","La Salle","315"
"60974","Woodland","Iroquois","314"
"61417","Berwick","Warren","312"
"62927","Dowell","Jackson","312"
"60933","Elliott","Ford","312"
"61851","Ivesdale","Champaign","310"
"60113","Creston","Ogle","309"
"61358","Rutland","La Salle","308"
"61378","West Brooklyn","Lee","307"
"62943","Grantsburg","Johnson","304"
"62374","Tennessee","Mcdonough","302"
"62967","New Burnside","Johnson","299"
"62413","Annapolis","Crawford","299"
"62093","Wilsonville","Macoupin","292"
"62862","Mill Shoals","White","291"
"62811","Bellmont","Wabash","288"
"62289","Summerfield","St. Clair","286"
"61775","Strawn","Livingston","286"
"62892","Vernon","Marion","285"
"62370","Rockport","Pike","285"
"62833","Ellery","Edwards","285"
"60945","Iroquois","Iroquois","285"
"62434","Ingraham","Clay","283"
"61810","Allerton","Vermilion","282"
"61363","Standard","Putnam","281"
"61439","Henderson","Knox","277"
"62478","West York","Crawford","276"
"61460","Media","Henderson","275"
"62362","Perry","Pike","274"
"62639","Frederick","Schuyler","274"
"62631","Concord","Morgan","274"
"62601","Alexander","Morgan","271"
"61936","La Place","Piatt","270"
"61416","Bardolph","Mcdonough","269"
"62921","Colp","Williamson","269"
"62079","Piasa","Macoupin","267"
"61720","Anchor","Mclean","264"
"62953","Joppa","Massac","263"
"62452","Parkersburg","Richland","262"
"61772","Shirley","Mclean","258"
"61274","Osco","Henry","257"
"61474","Saint Augustine","Knox","257"
"62695","Woodson","Morgan","256"
"61553","Norris","Fulton","255"
"60557","Wedron","La Salle","255"
"61552","Mossville","Peoria","249"
"62361","Pearl","Pike","247"
"61852","Longview","Champaign","240"
"61815","Bondville","Champaign","240"
"61059","Nora","Jo Daviess","237"
"61313","Blackstone","Livingston","236"
"61451","Laura","Peoria","236"
"62517","Bulpitt","Christian","236"
"62998","Wolf Lake","Union","232"
"61449","La Fayette","Stark","227"
"61519","Bryant","Fulton","225"
"61955","Vermilion","Edgar","224"
"62815","Bone Gap","Edwards","221"
"62077","Panama","Montgomery","221"
"62663","Manchester","Scott","220"
"60129","Esmond","De Kalb","220"
"61315","Bureau","Bureau","220"
"61316","Cedar Point","La Salle","215"
"62419","Calhoun","Richland","214"
"61431","Ellisville","Fulton","214"
"61243","Deer Grove","Whiteside","209"
"61475","Sciota","Mcdonough","206"
"61452","Littleton","Schuyler","205"
"62373","Sutter","Hancock","202"
"61478","Smithshire","Warren","202"
"61338","Manlius","Bureau","201"
"62011","Bingham","Fayette","200"
"61079","Shirland","Winnebago","189"
"60934","Emington","Livingston","189"
"62323","Chambersburg","Pike","188"
"62672","Nilwood","Macoupin","188"
"62825","Coello","Franklin","187"
"62843","Golden Gate","Wayne","187"
"61750","Lane","Dewitt","187"
"61848","Henning","Vermilion","186"
"62319","Camden","Schuyler","185"
"61941","Murdock","Douglas","181"
"61468","Opheim","Henry","180"
"61258","Hooppole","Henry","178"
"60539","Mooseheart","Kane","175"
"62273","Pierron","Bond","174"
"62359","Paloma","Adams","174"
"62030","Fidelity","Jersey","172"
"62083","Rosamond","Christian","168"
"60920","Campus","Livingston","166"
"61949","Redmon","Edgar","165"
"62085","Sawyerville","Macoupin","165"
"62820","Burnt Prairie","White","159"
"61743","Graymont","Livingston","157"
"61372","Troy Grove","La Salle","156"
"61539","Kingston Mines","Peoria","156"
"61044","Kent","Stephenson","153"
"62928","Eddyville","Pope","151"
"62861","Maunie","White","151"
"62334","Elvaston","Hancock","151"
"61731","Cropsey","Mclean","149"
"61831","Collison","Vermilion","146"
"62346","La Prairie","Adams","146"
"62610","Alsey","Scott","146"
"61332","Leonore","La Salle","143"
"62876","Radom","Washington","142"
"62809","Barnhill","Wayne","140"
"61543","Liverpool","Fulton","137"
"61857","Muncie","Vermilion","136"
"60437","Kinsman","Grundy","133"
"62975","Pomona","Jackson","131"
"62950","Jacob","Jackson","131"
"61043","Holcomb","Ogle","130"
"62065","Michael","Calhoun","125"
"60111","Clare","De Kalb","124"
"61471","Raritan","Henderson","123"
"62841","Freeman Spur","Williamson","123"
"61374","Van Orin","Bureau","115"
"61433","Fiatt","Fulton","115"
"62879","Sailor Springs","Clay","108"
"60536","Millbrook","Kendall","108"
"61541","La Rose","Marshall","107"
"62023","Eagarville","Macoupin","106"
"61479","Speer","Stark","105"
"62076","Ohlman","Montgomery","103"
"61855","Milmine","Piatt","103"
"61323","Dover","Bureau","102"
"61324","Eldena","Lee","101"
"62537","Harristown","Macon","99"
"62851","Keenes","Wayne","97"
"61037","Galt","Whiteside","97"
"62518","Chestnut","Logan","96"
"61419","Bishop Hill","Henry","92"
"61426","Castleton","Stark","92"
"62078","Patterson","Greene","89"
"62348","Lima","Adams","85"
"61057","Nachusa","Lee","84"
"61027","Eleroy","Stephenson","84"
"61112","Rockford","Winnebago","76"
"61751","Lawndale","Logan","76"
"62852","Keensburg","Wabash","74"
"61236","Barstow","Rock Island","73"
"62965","Muddy","Saline","71"
"62519","Cornland","Logan","71"
"62532","Elwin","Macon","71"
"61328","Kasbeer","Bureau","70"
"60969","Union Hill","Kankakee","69"
"61424","Camp Grove","Marshall","68"
"60144","Kaneville","Kane","67"
"61091","Woosung","Ogle","67"
"61276","Preemption","Mercer","66"
"61562","Rome","Peoria","58"
"61346","New Bedford","Bureau","57"
"62261","Modoc","Randolph","47"
"60926","Claytonville","Iroquois","45"
"62829","Dale","Hamilton","31"
"62961","Millcreek","Union","28"
"60519","Eola","Du Page","26"
"62336","Ferris","Hancock","26"
"62344","Huntsville","Schuyler","22"
"62541","Lake Fork","Logan","16"
"62098","Wrights","Greene","15"
"61435","Gerlaw","Warren","13"
"62279","Renault","Monroe","12"
"60666","Chicago","Cook","0"
"61077","Seward","Winnebago","0"
"61331","Lee Center","Lee","0"
"62266","New Memphis","Clinton","0"
"62962","Miller City","Alexander","0"
"62622","Bluff Springs","Cass","0"
"62070","Mozier","Calhoun","0"
